UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
1,M00001,M,296.233,307.674,1362.868,46.021,145.337,0,0,0,0,0,0
2,M00002,L,302.261,312.685,1393.366,24.569,260.0,0,0,0,0,0,0
3,M00003,H,302.365,312.257,1199.18,45.425,176.803,0,0,0,0,0,0
4,M00004,M,299.051,311.134,1492.02,38.981,55.686,0,0,0,0,0,0
5,M00005,L,301.043,311.061,1440.985,40.966,91.244,1,0,0,0,0,1
6,M00006,H,299.566,310.694,1900.993,49.589,70.313,0,0,0,0,0,0
7,M00007,M,300.484,312.834,1689.032,31.789,180.039,0,0,0,0,0,0
8,M00008,M,297.705,308.708,1386.777,39.749,200.749,0,0,0,0,0,0
9,M00009,L,301.245,310.048,1133.429,43.033,240.14,0,0,0,0,0,0
10,M00010,L,296.718,305.231,1100.0,37.01,96.734,0,0,0,0,0,0
11,M00011,L,296.34,305.983,1274.224,47.168,152.761,0,0,0,0,0,0
12,M00012,H,299.756,310.608,1207.132,43.298,209.629,0,0,0,0,0,0
13,M00013,M,299.578,310.111,1576.695,34.201,228.488,0,0,0,0,0,0
14,M00014,H,300.545,313.193,1468.112,52.607,33.863,0,0,0,0,0,0
15,M00015,L,298.701,309.223,1503.812,45.619,163.408,0,0,0,0,0,0
16,M00016,L,303.771,313.378,1291.237,31.574,36.488,0,0,0,0,0,0
17,M00017,M,300.321,308.961,1533.447,31.474,77.876,0,0,0,0,0,0
18,M00018,L,300.466,311.882,1187.511,37.805,28.525,0,0,0,0,0,0
19,M00019,H,300.394,310.387,1480.574,44.475,76.534,0,0,0,0,0,0
20,M00020,M,302.006,310.198,1682.654,17.866,18.521,0,0,0,0,0,0
21,M00021,M,301.152,311.179,1419.605,31.995,37.263,0,0,0,0,0,0
22,M00022,L,300.884,309.689,1597.602,34.225,56.68,0,0,0,0,0,0
23,M00023,H,301.472,310.961,1100.0,25.623,141.217,0,0,0,0,0,0
24,M00024,H,296.351,306.358,1100.0,29.782,122.372,0,0,0,0,0,0
25,M00025,M,296.426,305.34,1571.997,41.373,4.919,0,0,0,0,0,0
26,M00026,L,299.848,309.263,1730.344,35.111,260.0,0,0,0,0,0,0
27,M00027,L,299.605,308.712,1447.589,35.897,85.803,0,0,0,0,0,0
28,M00028,L,301.16,310.299,1971.946,26.214,26.952,0,0,0,0,0,0
29,M00029,L,300.04,308.83,1182.452,37.865,160.779,0,0,0,0,0,0
30,M00030,M,301.164,310.584,1350.404,24.959,119.68,0,0,0,0,0,0
31,M00031,M,297.509,306.435,1530.82,54.59,63.115,0,0,0,0,0,0
32,M00032,H,299.979,310.682,1602.162,57.433,147.343,0,0,0,0,0,0
33,M00033,L,297.318,307.559,1371.541,35.268,72.931,0,0,0,0,0,0
34,M00034,L,300.774,312.207,1266.962,28.776,99.302,0,0,0,0,0,0
35,M00035,L,296.243,308.507,1636.458,48.546,222.594,0,0,0,0,0,0
36,M00036,L,300.697,311.509,1529.313,45.924,128.648,0,0,0,0,0,0
37,M00037,L,297.062,307.602,1424.183,58.747,162.988,1,0,1,0,0,0
38,M00038,L,299.233,310.121,1609.739,61.411,83.451,0,0,0,0,0,0
39,M00039,L,301.79,312.35,1470.003,19.732,130.724,0,0,0,0,0,0
40,M00040,M,300.455,310.515,1469.257,51.587,66.043,0,0,0,0,0,0
41,M00041,L,296.709,306.673,1461.153,37.775,62.944,0,0,0,0,0,0
42,M00042,H,298.655,307.429,1319.367,45.491,91.134,0,0,0,0,0,0
43,M00043,M,296.997,308.004,1296.996,47.778,71.384,0,0,0,0,0,0
44,M00044,L,296.61,306.573,1384.345,47.359,192.663,1,1,0,0,0,0
45,M00045,H,300.235,311.975,1507.056,50.004,160.54,0,0,0,0,0,0
46,M00046,H,301.121,312.219,1100.0,34.397,0.0,0,0,0,0,0,0
47,M00047,L,300.881,310.13,1707.844,30.471,240.693,0,0,0,0,0,0
48,M00048,L,301.205,312.701,1504.057,51.869,164.879,0,0,0,0,0,0
49,M00049,M,299.976,306.903,1265.68,31.283,200.122,1,1,0,0,0,0
50,M00050,L,299.453,311.769,1855.651,58.614,108.034,0,0,0,0,0,0
51,M00051,L,297.854,306.248,1509.194,32.356,15.416,0,0,0,0,0,0
52,M00052,L,299.12,309.714,1206.267,36.192,27.317,0,0,0,0,0,0
53,M00053,M,297.357,307.87,1845.779,38.096,239.507,1,0,0,0,1,1
54,M00054,M,298.31,309.658,1798.071,24.589,6.09,0,0,0,0,0,0
55,M00055,M,300.178,309.783,1300.068,24.618,18.806,0,0,0,0,0,0
56,M00056,M,299.764,307.19,1428.944,49.12,89.702,0,0,0,0,0,0
57,M00057,L,306.129,315.737,1399.331,22.8,23.066,0,0,0,0,0,0
58,M00058,M,297.308,307.045,1100.0,65.197,157.32,1,0,1,0,0,0
59,M00059,L,299.75,307.291,1571.431,39.059,162.756,0,0,0,0,0,0
60,M00060,L,297.153,307.207,1685.932,29.707,148.958,0,0,0,0,0,0
61,M00061,M,299.224,307.933,1644.516,44.202,77.009,0,0,0,0,0,0
62,M00062,L,299.306,310.085,1507.206,15.381,140.213,0,0,0,0,0,0
63,M00063,M,301.69,311.394,1707.275,36.664,244.85,0,0,0,0,0,0
64,M00064,M,299.101,311.454,1250.224,37.947,19.62,0,0,0,0,0,0
65,M00065,M,299.617,309.31,1900.022,27.338,198.168,0,0,0,0,0,0
66,M00066,M,299.139,309.656,1330.142,33.682,176.559,0,0,0,0,0,0
67,M00067,M,297.198,306.942,1354.578,55.26,112.632,1,0,1,0,0,0
68,M00068,L,298.696,306.748,1373.453,41.833,131.646,0,0,0,0,0,0
69,M00069,L,299.236,308.99,1357.408,43.995,144.971,0,0,0,0,0,0
70,M00070,L,300.148,311.052,1457.601,32.132,51.643,0,0,0,0,0,0
71,M00071,L,301.118,311.84,1449.082,26.766,5.74,0,0,0,0,0,0
